,Name,Overall rating,Date of reply,Text
0,GREATS,5/5 stars,"May 25, 2021","Firstly, the Plobal team has been incredibly attentive and was thorough with the process of getting to launch. Since developing our branded app, we have seen great performance. Special shout out to Sidd who has been working closely with us and making sure we kept the momentum going with app retention."
1,NRML,5/5 stars,"May 18, 2021",Moved over from another platform similar to Plobal. Plobal listened to my mission with our application as well as resolved existing problems we had with our previous developer. They worked hard to adhere to our needs to make sure our application was exactly what we imagined. From the follow-up calls to the call-outs we didn't even ask for - if you want to work with an application who cares and really wants to make your business suceed - these are your guys. 5 star all around the board 
2,Thats So Fetch,5/5 stars,"April 29, 2021","Great app, good dev team with excellent service! So far everything has performed above our teams expectations. "
3,Premier,5/5 stars,"April 22, 2021","Highly recommended. Bharath, Yuvi and the development team have been very helpful, responsive and have been able to make customizations for our needs."
4,Recode Studios,5/5 stars,"March 26, 2021","excellent and express services , Thanks Plobal Team for immediate solutions to our queries , Specially Nikhat :) "
5,VYVE Active Wear,5/5 stars,"March 19, 2021","Nice app and great customer service, the help in everything you ask and really fast. I will like some updates on the app soon."
6,MyKady,5/5 stars,"March 16, 2021","Highly recommending Plobal Apps. It made our journey very easy to create our app and get all the features that we have on our website.A big thank you for Nikhat who has helped us with the setup, install campaigns and was very supportive in each customization needed and added it quickly with the technical team."
7,Wild Bohemian,5/5 stars,"March 13, 2021","Plobal has been awesome! So easy to use, the support team is amazing and they fix any issues very quickly. We've been so happy with them!"
8,The Pig E Bank app,5/5 stars,"March 5, 2021",I've seen all the competitors and Plobal is by far the best to me ! Customer service is awesome! Plus all the options!
9,Quality Approach Ltd,5/5 stars,"March 5, 2021","Plobal has been instrumental in the development and launch of our new app. Barath and his team have been very positive, working closely with us and responding quickly when needed."
10,Grand Cru Vinhos,5/5 stars,"February 23, 2021",It is easy to operate and we have a good support of the plobal team. It was quick to launch our MVP.
11,Timeless Pearl,5/5 stars,"February 23, 2021","A great project manager is part of the key to success! Working with Bharath now and he is doing a great job. By providing us good services, he helped us build the app we want. Look forward to the growth with Plobal team! "
12,Mark Bell Sling Shot®,5/5 stars,"February 23, 2021",Plobal has been a great interface for us to use to help manage our mobile app! It has been great working with their team and using Plobal!
13,Reveille Trading Company,5/5 stars,"February 9, 2021","The app works well, and that's great, but the real reason that I am such a fan of Plobal is because of their customer service. Often we can find an app or service that can do what we want most of the time but finding a good team of people is rare. I have been working with these guys for a few months now, and they are just as attentive to me now as they were the day we signed up. I highly recommend Plobal."
14,PetsOffice,5/5 stars,"January 21, 2021","It's a great App, very easy to use and the team is very friendly. Especially Sumant, was very supportive and was the reason for me to register on Plobal Apps !"
15,NewYork Shirt Company,5/5 stars,"January 4, 2021","Great service provides by Yuvi and Vivian, they give us the full support to publish our apps. We're looking to go more forward with them."
16,Eshopifiz,3/5 stars,"December 12, 2020","Good App but lost stars as most businesses are startups and very new and the prices are so expensive for small businesses - we just cannot afford $249 - $699USD per month, just rediculous so I have decided to delete. I like the app, it takes time to set up and add all your items manually but once set up you cant preview until you buy a plan so lost stars for that, honestly, if I cannot see my preview before I buy then it's not worth looking into for a future purchase. Maybe in the near future, I might look into this if it was at least half the prices that is advertised."
