,App name,Replier's name,Overall rating,Date of reply,Text
0,MegaNative,Fishman Healthcare,4/5 stars,"June 17, 2021",It is simple to create an app. Their response is also good. They delivered the app on time. Happy to associate with MageNative. 
1,MegaNative,Magroceries,5/5 stars,"June 16, 2021","I have tried out 10+ different apps and none of them were able to help me they way this one did. Through the great help from the developers I was able to customise a currency conversion option that is essential to my business. When there is a problem, customer support will have it fixed for you before you even know it. This is app you want to use if you want your own shopping app! Also, it is far cheaper that most others and gives much more value that the once that are able to offer an even lower price. This the the best cost/benefit you will find! "
2,MegaNative,The Magic Box Boutique,1/5 stars,"June 14, 2021","If I could give 0 stars I would! I was unable to use this app and paid for a 6 months subscription apparently my business isn't allowed to be in the IOS or Android platforms, after informing the company their solution was for me to add these long instructions on my website for customers to download the app. Literally the steps we have to take to get the app on our phones as if any customer would take that much time out of their day to add an app. After a month of waiting for a response refunds are against their policy, they didn't even attempt to return half the money. Basically they got almost 300 out of me for a subscription I can't even use. I'm disgusted and I feel cheated out of my money, I regret ever using this companies service. This is poor customer service with this type of solution and communication. "
3,MegaNative,Datotta,5/5 stars,"June 12, 2021",Really liked their support and service. Economical as well compared with other providers. Must try out :)
4,MegaNative,Bakaliko.store,5/5 stars,"June 10, 2021","Excellent support, lots of customisations, very simple, cost effective. Kudos to the team behind it."
5,MegaNative,Styleworthy,5/5 stars,"June 9, 2021","I'm using this app to try and push my e-commerce and small business. The support team is helpful and patient. The app is easy to use, it's turnkey and a great way to optimize your fottage."
6,MegaNative,Persian Deals Ltd.,5/5 stars,"June 8, 2021","I have been using MageNative for the last few months and their support and level of service has been fantastic. I am really happy with the result, keep up the good work MageNative team!"
7,MegaNative,"AP Online Kirana, Sherghati",5/5 stars,"June 6, 2021","I chose Magenative to take our shopify store to mobile. Super helpful support, it took care of everything from preparing the layout to publishing. They also made customised changes promptly whenever I requested. Definitely recommended"
8,MegaNative,1M-MARKET.com,5/5 stars,"June 4, 2021","I am very satisfied with this company!! The app is very simple, easy to build, fast and no bugs and their customer service is wow. I took the right decisions chose them."
9,MegaNative,2GO Protein,5/5 stars,"May 28, 2021","I am not sure why there are bad reviews on this app. I am using this app now, and it's perfectly working fine. Also, support is great. They were able to do whatever I asked them to do. The developers both Aneesha and Vaibhav were very friendly and flexible to help me fix any issues I faced in the app. They are also continuing helping with any updates I need in the app. I definitely prefer this app than any other expensive apps on Shopify. Thanks from heart.."
10,MegaNative,Qualitygifting,5/5 stars,"May 22, 2021",Everyone On the Magenative team is truly helpful and detailed. They've worked outside working hours to help me achieve a good looking and functional app for my store. And I definitely recommend this app for Start-ups. They are great!!! 
11,MegaNative,The Charmosa,5/5 stars,"May 21, 2021","I am extremely satisfied with this company!! They went above and beyond for me!!! The app is very simple, easy to build and the customer service is amazing. They answered all my questions, worked around my schedule, and met my requirements. I am glad i found them!"
12,MegaNative,Kumaoni Blessings,5/5 stars,"May 21, 2021",The people behind the Magenative platform are really helpful and forward-thinking. They took the initiative to help us in customising our app - krakr. There are other providers like Vajru who offer similar services at double the cost. We are really happy with Magenative.
13,MegaNative,Embeyvally,5/5 stars,"May 21, 2021",Great work with good support. The team is very helpful and skilful.best experience and support is very fantastic .I am happy with is an app
14,MegaNative,Hanayen,5/5 stars,"May 19, 2021",Great work with good support. The team is very helpful and skillfull.Did my 2nd project and its overwhelming
15,MegaNative,Tarigonda Mart,5/5 stars,"May 18, 2021",I have used MageNative for building an Android for my store. Excellent team and their support throughout is fantabulous. they are available to support 24 * 7. Plenty of design options. I recommend MageNative very strongly for all kinds of businesses.
16,MegaNative,buyyzodigital,5/5 stars,"May 9, 2021",very friendly and helpful staff. they guide u very professionally and answer all your query. they are very quick in response. Recommend to all
17,MegaNative,Docib Online,4/5 stars,"May 6, 2021","This app has ended up doing what I hoped, helped me in easy integration and user friendly interface."
18,MegaNative,TheARZ,5/5 stars,"May 3, 2021","amazing service and friendly staff, they are trusting, helpful, and very calm staff. i do recommend others to use magenative"
19,MegaNative,Bera Water,5/5 stars,"April 28, 2021",*wanted to have clients use the app for awhile first before writing a review. MageNatives team has worked with us repeatedly to improve our apps and always respond to requests and queries no matter how small. Couldn't ask for better support from third parties we agree to work with. The apps work well and support is everpresent. Keep up the good work. 
20,MegaNative,Flat Out Fabulous with Stacey,5/5 stars,"April 27, 2021","They are super helpful! I would never be able to do this on my own. They've given me step by step procedures to get my app launched, and have been brilliant, and friendly. I never have to wait for help, they're always right there to assist me. The cost is great too. Cheapest app I've found with great customer service. Thank you so much for all of your help, and helping me expand my business with a mobile app."
21,MegaNative,YummiFood!,5/5 stars,"April 23, 2021",Great Support and Service from the team in India. Would recommend to anyone out there looking for a simple but powerful mobile solution to build your mobile app with unlimited possibilities to further enhancements and develop and build the apps capabilities. 
22,MegaNative,KALEMAT Bazar,5/5 stars,"April 10, 2021","thy are very helpful , I tray this app it is so easy for working and all my customer like it , and the person who was following with me he is ready really nice person . thanks everyone for my kalemat bazar app"
23,MegaNative,Monumental Ltd,4/5 stars,"April 9, 2021","Brilliant service so far. You can customise your app very freely, upload your own graphics and link those graphics to your products. It syncs with your shop so when you're designing the app, all of your collections and products can be linked to which I think is perfect. You should be aware that in order to have an app, you need to have a Developer Account so you will need to pay for that separately. You have to pay Apple yearly for this. But if your shop does well, you should make that money back each year. The only thing I think I would prefer with MageNative is being able to send more push notifications each month. As an app, you don't want to send too many notifications because you might annoy your customers, of course. But on a basic plan with MageNative, you only get 3 push notifications a month. This technically would limit you to only being able to send a push notification to your customers every 10 days. You have to upgrade to a higher plan if you want more push notifications. Other than that, I am very happy with the service MageNative provided. They have helped every step of the way and always replied to my questions. They took control of the app and handled everything that I didn't know how to do. We are now waiting for Apple to approve the app which only takes 48 hours. Thank you MageNative for a positive experience! "
24,MegaNative,Cotton Rose,5/5 stars,"April 7, 2021","Excellent customer service. Very quick to respond! They assisted me the whole step of the way, and made my app experience perfect!"
25,MegaNative,Sua Boutique Shop,5/5 stars,"April 2, 2021",Ótima experiência! O suporte deles é super atencioso e estão disponíveis para sanar todas as dúvidas! 
26,MegaNative,Mom Of Four Boutique,5/5 stars,"March 31, 2021","I have wanted an app for both android and apple users, but didn't know how to go about it. I wanted something that wasn't going to break the bank, but also wanted to market my business more. The team I have been working with have been amazing and so helpful. "
27,MegaNative,Murphy's Custom Pc's Ltd 2020-2021. All rights reserved. Murphy's Custom Pc's is a Trading Name for Murphy's Custom Pc's LTD  a company registered in England and Wales Company number: 13273732,5/5 stars,"March 30, 2021",I have used the app to develop and launch my app the team are very helpful and quick to resilve any issues thank you
28,MegaNative,Amber Moon,5/5 stars,"March 27, 2021",Highly recommend MageNative. I’ve been wanting an app for years and they made my dreams come true quickly and easily. They have great communication and are so helpful. I reached out several times to request minor changes and they complied quickly. Best decision and investment EVER! Thank you MageNative. 
29,MegaNative,Waked Electronics,5/5 stars,"March 23, 2021","The app is wonderful. It really fulfilled my needs. The support team is great, they remained with us until the app got published on app store and play store and they did al the work, we didnt have to worry about anything"
30,MegaNative,designfullprint,5/5 stars,"March 23, 2021","A really helpful app with awesome support team. I appreciate their service. Whenever I need help, the support team reply immediately and focus on exactly what I concern about. Great job!"
31,MegaNative,Castano Equestrian Equipment,5/5 stars,"March 22, 2021","The app is brilliant, because you do not need to know anything about coding to create a beautiful app. It is also seamlessly connected to the website, no extra changes needs to be made, the moment you update the website on Shopify, the app is automatically updated. The support staff at MageNative are exceptional: they were very helpful and didn't quit before everything was perfect!"
32,MegaNative,The Creative Mustard Seed,5/5 stars,"March 19, 2021","The team at MageNative has been amazing to work with!! Talk about customer service! I was hesitant to create an app because I was intimidated by all the technical and coding details. But I know my shop and customers need it! This team has answered every question I've had and in a timely manner. Got a question? They'll have an answer! They helped me in every step of development AND with uploading to Apple and Google. They will include you in a group chat if needed to help with the process as well. Great for getting updates! Of the app options Shopify offers, this has been a great one!"
33,MegaNative,Auscart,5/5 stars,"March 19, 2021",Easy to use. Was able to design my app within few minutes. Support team helped me with publishing on Google Play and App Store. Had a few changes to make. Support team was quick to help with all the changes. Highly recommended. 
34,MegaNative,TheBOOSTstore,5/5 stars,"March 17, 2021",They did such a great job getting my app published! They took care of my store and it increased my traffic by 25% not saying it’s the core cause but it definitely did help! So happy to have this awesome app published and ready to see where it goes! 
35,MegaNative,deliverlou,5/5 stars,"March 15, 2021",I used this app and it really helpe increse my audience. Having a mobile drew quite alot of traffic to store. I thank MageNative for building an easy accesible app for my business. The customer service was also spot on. They created a WhatsApp group in which they responded promptly and provided many answers to numerous questions. I highly recommend their services!
36,MegaNative,Black Diamond Boutique,5/5 stars,"March 12, 2021","Outstanding customer service, nothing is too much trouble. For non tech people they have clear instructions and explain it very well."
37,MegaNative,Nus-kha,4/5 stars,"March 9, 2021",Team is very professional with great prompt support. I would highly recommend Magenative app & services. They work as partner and always ready to go extra mile with multiple suggestions and options.
38,MegaNative,New Trendz,5/5 stars,"March 6, 2021",thank you guys for everything you guys are great i love the team work i highly recommend this service i plan on making much more apps with you guys thanks very everything you guys are wonderful....
39,MegaNative,Graced By The South,5/5 stars,"March 5, 2021",It was so easy to communicate with this team. Night or day there was always someone there to answer all my question. They took time to walk me through the problems I did not understands and provided links to help me. An absolutely great learning experience! I appreciate this team so much!
40,MegaNative,Subhamasthu,5/5 stars,"March 5, 2021",Thank you for the amazing support from the team and they are prompt in responding to queries. Good service!!
41,MegaNative,outletoptico,5/5 stars,"March 4, 2021",The technical support team is very helpful and provides quick tips. excellent service and the app works well.
42,MegaNative,Girly Butik,5/5 stars,"March 4, 2021",I used their app and the team is very helpful and fast . i recommend everyone to use their service . they are very fast 
